0,0,-1,151,0,0,1,0,
0,1,-1,350,0,0,1,0,
0,2,-1,381,0,0,1,0,
0,3,-1,390,1,1,0,0,
0,4,-1,419,1,0,0,0,
0,5,-1,544,0,0,1,1,
0,6,-1,840,1,0,0,0,
0,7,-1,876,1,0,0,0,
0,8,-1,1065,1,0,0,0,
0,9,-1,1081,2,1,1,0,
0,10,-1,1155,0,1,1,0,
0,11,-1,1476,2,1,0,0,
0,12,-1,1789,0,0,2,1,
0,13,-1,1877,1,0,0,1,
0,14,-1,1933,1,0,0,1,
0,15,-1,1966,1,0,0,0,
0,16,-1,2237,1,0,0,0,
2,4,2505,
0,17,-1,2505,0,2,1,0,
0,18,-1,3097,2,1,1,1,
2,8,3472,
2,11,4013,
2,6,4351,
2,9,4477,
1,19,15,4716,1,0,0,0,
0,20,-1,4875,1,1,0,0,
0,21,-1,4953,1,2,0,1,
0,22,-1,5315,1,0,0,2,
0,23,-1,5328,0,1,1,1,
0,24,-1,6389,1,1,0,1,
2,15,6604,
0,25,-1,6996,1,0,0,1,
2,16,7329,
0,26,-1,7369,1,0,2,0,
1,27,25,8109,1,0,0,1,
2,-1,8315,
2,-1,8903,
1,28,1,9039,1,0,0,0,
2,18,9282,
0,29,-1,9866,1,2,0,1,
2,28,10176,
2,-1,10530,
2,5,11001,
2,23,11054,
2,-1,11137,
2,17,11184,
0,30,-1,11184,1,2,2,1,
2,29,11589,
2,-1,11678,
2,-1,12570,
2,21,12628,
2,-1,12985,
2,19,13033,
2,1,13112,
2,12,13218,
0,31,-1,13395,2,1,1,0,
0,32,-1,13963,0,2,1,2,
2,31,14793,
2,7,14846,
1,33,2,14909,0,0,1,0,
2,-1,16214,
2,-1,17482,
2,-1,17643,
2,30,17956,
2,10,18724,
1,34,20,20125,1,1,0,0,
2,24,20329,
2,32,20674,
2,-1,20810,
1,35,27,21223,1,0,0,1,
2,2,22466,
2,33,22962,
2,-1,23712,
